"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:netherite_hoe","1","0.24%","1/411",
"minecraft:potion","1","2.4%","10/411","fire_resistance"
"minecraft:splash_potion","1","2.4%","10/411","fire_resistance"
"minecraft:iron_nugget","9..36","2.4%","10/411",
"minecraft:quartz","8..16","4.9%","20/411",
"minecraft:glowstone_dust","5..12","4.9%","20/411",
"minecraft:magma_cream","2..6","4.9%","20/411",
"minecraft:ender_pearl","4..8","4.9%","20/411",
"minecraft:string","8..24","4.9%","20/411",
"minecraft:fire_charge","1..5","9.7%","40/411",
"minecraft:gravel","8..16","9.7%","40/411",
"minecraft:leather","4..10","9.7%","40/411",
"minecraft:nether_brick","4..16","9.7%","40/411",
"minecraft:obsidian","1","9.7%","40/411",
"minecraft:crying_obsidian","1..3","9.7%","40/411",
"minecraft:soul_sand","4..16","9.7%","40/411",
