"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:lodestone","1","100%","1",
——,——,——,——,——
"1 to 2 time","--","--","--",
"minecraft:spectral_arrow","5..18","9.1%","1/11",
"minecraft:gilded_blackstone","5..10","9.1%","1/11",
"minecraft:crying_obsidian","3..8","9.1%","1/11",
"minecraft:gold_block","1","9.1%","1/11",
"minecraft:gold_ingot","2..8","9.1%","1/11",
"minecraft:iron_ingot","2..8","9.1%","1/11",
"minecraft:golden_sword","1","9.1%","1/11",
"minecraft:golden_chestplate","1","9.1%","1/11","enchantments: *"
"minecraft:golden_helmet","1","9.1%","1/11","enchantments: *"
"minecraft:golden_leggings","1","9.1%","1/11","enchantments: *"
"minecraft:golden_boots","1","9.1%","1/11","enchantments: *"
——,——,——,——,——
"2 to 4 time","--","--","--",
"minecraft:string","1..6","20%","1/5",
"minecraft:leather","1..3","20%","1/5",
"minecraft:arrow","5..17","20%","1/5",
"minecraft:iron_nugget","2..6","20%","1/5",
"minecraft:gold_nugget","2..6","20%","1/5",
